screen_name,person,tags
EckhartTolle,Person,Spiritual Teacher
JulienHimself,Person,Coach
realDonaldTrump,Person,Politician
elonMusk,Person,Businessman
Headspace,,
InsightTimer,,
TrainingMindful,,
SadghuruJV,Person,Spiritual Teacher
PMOIndia,Person,Politician
DeepakChopra,Person,Spiritual Teacher
DalaiLama,Person,Spiritual Teacher
Oprah,Person,
thicnhathanh,Person,Spiritual Teacher
TonyRobbins,,Coach
BabaRamDass,Person,Spiritual Teacher
tinybuddha,,
Zen_Moments,,
mindfulnessbell,,
wkup,,
TaraBrach,,Spiritual Teacher
APAHealthyMinds,,
PsychCentral,,
PsychToday,,
PsychNews,,
MindfulEveryday,,
JackKornfield,Person,Spiritual Teacher
10percent,,
yogawithadriene,Person,Spiritual Teacher
MindfulOnline,,
jonkabatzinn,Person,Professor
LondonMindful,,
DrDanSiegel,,Professor
Wisdom2conf,,
umasscfm,,
danbharris,Person,
SpiritRock,,
actionhappiness,,
mindandlife,,
judbrewer,Person,
SharonSalzberg,Person,Spiritual Teacher
amishshija,Person,
Mindful_Schools,,
LamaSuryaDas,Person,Spiritual Teacher
soundstrue,,
JackCanfield,Person,
ByronKatie,Person,
donMiguelRuiz,Person,
garyvee,Person,Businessman
BillGates,Person,Businessman
tferriss,Person,Businessman
,,
cobratate,,
,,
Chris Evans ,actor ,@ChrisEvans 
,,
@IMKristenBell,actor,@IMKristenBell
@JamesFrancoTV,actor ,@JamesFrancoTV
@EmWatson ,actor ,@
@JonahHill,,
,,
@annaKendrick47,,
@SteveMartinToGo,,
@PamGrier,,
@JimCarrey,,
@carrieffisher,,
@samuelLJackson,,
@IanMcKellen,,
@jadapsmith,,
@ladygaga,,
@justinbieber,,
@stephenfry,,
@britneyspears,,
@taylorswift13,,
@katyperry,,
@rihanna,,
@MileyCyrus ,,
@rustyrockets,,
@TheEllenShow,,
@selenagomez,,
@adamlambert,,
@JLo,,
@Cher,,
@chrisbrogan,,
@KimDotCom,,
@KimKardashian ,,
@chrisbrown,,
@TheRock,,
@LeoDiCaprio,,
@Eminem,,
@chrishemsworth,,
@LiamHemsworth,,
@deepikapadukone,,
@iamsrk,,
@SrBachchan,,
@RanveerOfficial ,,
@iHrithik,,
@AnushkaSharma,,
@sonamakapoor,,
@samclaflin,,
@TomHolland1996,,