screen_name,group
EckhartTolle,1
JulienHimself,1
Headspace,1
InsightTimer,1
TrainingMindful,1
SadhguruJV,1
DeepakChopra,1
DalaiLama,1
thichnhathanh,1
TonyRobbins,1
BabaRamDass,1
tinybuddha,1
Zen_Moments,1
mindfulnessbell,1
wkup,1
TaraBrach,1
APAHealthyMinds,1
MindfulEveryday,1
JackKornfield,1
10percent,1
yogawithadriene,1
MindfulOnline,1
jonkabatzinn,1
LondonMindful,1
DrDanSiegel,1
Wisdom2conf,1
umasscfm,1
danbharris,1
SpiritRock,1
actionhappiness,1
mindandlife,1
judbrewer,1
SharonSalzberg,1
amishshija,1
Mindful_Schools,1
LamaSuryaDas,1
soundstrue,1
JackCanfield,1
ByronKatie,1
donMiguelRuiz,1
ChrisEvans ,2
EmmaWatson ,2
annaKendrick47,2
SteveMartinToGo,2
PamGrier,2
JimCarrey,2
samuelLJackson,2
IanMcKellen,2
ladygaga,2
rustyrockets,2
KimKardashian ,2
TheRock,2
LeoDiCaprio,2
chrishemsworth,2
LiamHemsworth,2
TomHolland1996,2
RobertDowneyJr,2
JeremyRenner,2
VancityReynolds,2
GalGadot,2
aplusk,2
Sethrogen,2
brielarson,2
prattprattpratt,2
MarkRuffalo,2
RealHughJackman,2
SimuLiu,2
karengillan,2
danaigurira,2
EvangelineLilly,2
DonCheadle,2
MarkHamill,2
pattonoswalt,2
sethmacfarlane,2
johnboyega,2
idriselba,2
DavidKHarbour,2
TomCruise,2
BenStiller,2
charliesheen,2